sigma_test,replica,v_score_standard,v_score_posenc
0.28512820512820514,1,0.0004435195423642715,0.0005034297329403899
0.28512820512820514,2,0.0004162168295391024,0.0004953124312281202
0.28512820512820514,3,0.000845106757634579,0.0011245742333278956
0.28512820512820514,4,0.0002386159152817811,0.00021331487523231478
0.28512820512820514,5,0.00028399284201885167,0.00027463741264576494
0.28512820512820514,6,0.0045289189887343555,0.005003419418042177
0.28512820512820514,7,0.0009256971168196335,0.0010050137814267737
0.28512820512820514,8,0.0016841090941024867,0.0021959742287187495
0.28512820512820514,9,0.0008108572008797881,0.0007868245894035008
0.2925641025641026,0,0.00014933716650652201,0.0001349592387676925
0.2925641025641026,1,0.0010501550960165577,0.0012083160916234227
0.2925641025641026,2,0.0006428277654812993,0.0007405681246904269
0.2925641025641026,3,0.0013275967386146015,0.00138453715835882
0.2925641025641026,4,0.00023285998119496263,0.00021941582798201318
0.2925641025641026,5,0.0003567168557919328,0.00046593881798029824
0.2925641025641026,6,0.002520601698394588,0.0035112634698031826
0.2925641025641026,7,0.0005682492672238256,0.0005822849153904628
0.2925641025641026,8,0.0003264136942811274,0.00036715447372645137
