b,L_eff,sigma_test,replica,v_score
1,36,0.26282051282051283,9,0.0002914601320009461
1,36,0.2702564102564103,0,0.00023856781151034936
1,36,0.2702564102564103,1,0.0002358518296495181
1,36,0.2702564102564103,2,0.00035019709194174004
1,36,0.2702564102564103,3,0.0002613419472393589
1,36,0.2702564102564103,4,0.0002693794230633884
1,36,0.2702564102564103,5,0.0006375799329430194
1,36,0.2702564102564103,6,0.00023766748931059297
1,36,0.2702564102564103,7,0.00036240024013725115
1,36,0.2702564102564103,8,0.00026066532653009115
1,36,0.2702564102564103,9,0.00033522845504700813
1,36,0.2776923076923077,0,0.00025028262604939977
1,36,0.2776923076923077,1,0.0002704584861814277
1,36,0.2776923076923077,2,0.00037407388682032675
1,36,0.2776923076923077,3,0.00035486773759046015
1,36,0.2776923076923077,4,0.00021489815787233943
1,36,0.2776923076923077,5,0.0002731115938273492
1,36,0.2776923076923077,6,0.00029566881453689596
1,36,0.2776923076923077,7,0.00019574536666035254
1,36,0.2776923076923077,8,0.0002774192676001689
1,36,0.2776923076923077,9,0.0002575842734350521
1,36,0.28512820512820514,0,0.00037674637764502345
1,36,0.28512820512820514,1,0.0003353680207846186
1,36,0.28512820512820514,2,0.00040573146706370867
1,36,0.28512820512820514,3,0.00025880724823817747
1,36,0.28512820512820514,4,0.00025871284262877494
1,36,0.28512820512820514,5,0.00029011263446860605
1,36,0.28512820512820514,6,0.00027015171990090906
1,36,0.28512820512820514,7,0.00030548035962625923
1,36,0.28512820512820514,8,0.00027300693833563197
1,36,0.28512820512820514,9,0.0002592089019484034
1,36,0.2925641025641026,0,0.00030225664673746354
1,36,0.2925641025641026,1,0.0003141682242220284
1,36,0.2925641025641026,2,0.0002697049933428898
1,36,0.2925641025641026,3,0.00033287830228027497
1,36,0.2925641025641026,4,0.00035595366325729045
1,36,0.2925641025641026,5,0.0002701887834929739
1,36,0.2925641025641026,6,0.0003424657772262292
1,36,0.2925641025641026,7,0.00021797596248394164
1,36,0.2925641025641026,8,0.00026658167315153945
1,36,0.2925641025641026,9,0.00038105321806439565
1,36,0.3,0,0.00023166049192068725
1,36,0.3,1,0.00032466844319586614
1,36,0.3,2,0.00023845155658843573
1,36,0.3,3,0.00024486682977847444
1,36,0.3,4,0.0003756113885116225
1,36,0.3,5,0.0002624194075693627
1,36,0.3,6,0.00030013883532676493
1,36,0.3,7,0.0003385188512729872
1,36,0.3,8,0.00031967138233827394
1,36,0.3,9,0.00027371472594145754
2,18,0.01,0,1.659711175148392e-05
2,18,0.01,1,1.6436587865675196e-05
2,18,0.01,2,1.5603779473228157e-05
2,18,0.01,3,1.778311324311094e-05
2,18,0.01,4,1.6769589886006613e-05
2,18,0.01,5,1.7075380331807276e-05
2,18,0.01,6,1.6814686964472932e-05
2,18,0.01,7,1.7409735571433593e-05
2,18,0.01,8,1.660256583957182e-05
2,18,0.01,9,1.581160298832073e-05
2,18,0.017435897435897435,0,1.684846129646225e-05
2,18,0.017435897435897435,1,1.6185487911985155e-05
2,18,0.017435897435897435,2,1.7680954802668783e-05
2,18,0.017435897435897435,3,1.6014452190571824e-05
2,18,0.017435897435897435,4,1.8414835205543886e-05
2,18,0.017435897435897435,5,1.6415151709367726e-05
2,18,0.017435897435897435,6,1.958145959782407e-05
2,18,0.017435897435897435,7,1.6543483636077022e-05
2,18,0.017435897435897435,8,1.5793657584937843e-05
2,18,0.017435897435897435,9,1.6895936215433567e-05
2,18,0.02487179487179487,0,1.759275568701233e-05
2,18,0.02487179487179487,1,1.7257953019165663e-05
2,18,0.02487179487179487,2,1.565862918111205e-05
2,18,0.02487179487179487,3,1.651561594919141e-05
2,18,0.02487179487179487,4,1.6627825118810037e-05
2,18,0.02487179487179487,5,1.589464727536645e-05
2,18,0.02487179487179487,6,1.88407775814806e-05
2,18,0.02487179487179487,7,1.7152631842754886e-05
2,18,0.02487179487179487,8,1.7493750242741704e-05
2,18,0.02487179487179487,9,1.6811051365109407e-05
2,18,0.03230769230769231,0,1.653047013002937e-05
2,18,0.03230769230769231,1,1.6494277794834955e-05
2,18,0.03230769230769231,2,1.9313533070028365e-05
2,18,0.03230769230769231,3,1.6197881441789127e-05
2,18,0.03230769230769231,4,1.7381241456333638e-05
2,18,0.03230769230769231,5,1.6854141042075485e-05
2,18,0.03230769230769231,6,1.7189295401411293e-05
2,18,0.03230769230769231,7,1.9094381973481003e-05
2,18,0.03230769230769231,8,1.835928429114405e-05
2,18,0.03230769230769231,9,1.781076823256704e-05
2,18,0.03974358974358974,0,1.8046071854279528e-05
2,18,0.03974358974358974,1,1.7387981907702687e-05
2,18,0.03974358974358974,2,1.6853064915736075e-05
2,18,0.03974358974358974,3,1.654387503540139e-05
2,18,0.03974358974358974,4,1.9103228851283582e-05
2,18,0.03974358974358974,5,1.864995832173774e-05
2,18,0.03974358974358974,6,1.9955599814985547e-05
2,18,0.03974358974358974,7,1.7874986641822806e-05
2,18,0.03974358974358974,8,2.1596969761223667e-05
2,18,0.03974358974358974,9,2.1509646959082444e-05
2,18,0.04717948717948718,0,1.685033298660746e-05
2,18,0.04717948717948718,1,1.9919698238141415e-05
2,18,0.04717948717948718,2,1.5812062690169198e-05
2,18,0.04717948717948718,3,2.348664004968839e-05
2,18,0.04717948717948718,4,1.9138616441397597e-05
2,18,0.04717948717948718,5,1.8283440157489677e-05
2,18,0.04717948717948718,6,1.903256180021953e-05
2,18,0.04717948717948718,7,1.83591168477383e-05
2,18,0.04717948717948718,8,2.0051553309808532e-05
2,18,0.04717948717948718,9,1.947150636057029e-05
2,18,0.054615384615384614,0,1.98831231902144e-05
2,18,0.054615384615384614,1,2.0106759288384713e-05
2,18,0.054615384615384614,2,1.8927795874764537e-05
2,18,0.054615384615384614,3,1.8541882395809538e-05
2,18,0.054615384615384614,4,2.0809095266657278e-05
2,18,0.054615384615384614,5,2.2171112693943836e-05
2,18,0.054615384615384614,6,1.8400224362006804e-05
2,18,0.054615384615384614,7,1.855984558922479e-05
2,18,0.054615384615384614,8,1.987146240933238e-05
2,18,0.054615384615384614,9,1.824841298728193e-05
2,18,0.062051282051282054,0,2.7506506831868606e-05
2,18,0.062051282051282054,1,2.1572220668015673e-05
2,18,0.062051282051282054,2,2.0857655628298526e-05
2,18,0.062051282051282054,3,2.0225905383094976e-05
2,18,0.062051282051282054,4,1.979645023735906e-05
2,18,0.062051282051282054,5,1.8471076939191058e-05
2,18,0.062051282051282054,6,2.166527176997027e-05
2,18,0.062051282051282054,7,2.0855753490932743e-05
2,18,0.062051282051282054,8,2.030180885634922e-05
2,18,0.062051282051282054,9,2.4728515683284717e-05
2,18,0.06948717948717949,0,2.1780504488412964e-05
2,18,0.06948717948717949,1,2.365271519570921e-05
2,18,0.06948717948717949,2,2.0581278653258137e-05
2,18,0.06948717948717949,3,2.1838311288549486e-05
2,18,0.06948717948717949,4,2.114924322021097e-05
2,18,0.06948717948717949,5,2.064770866405064e-05
2,18,0.06948717948717949,6,2.4392912876793302e-05
2,18,0.06948717948717949,7,3.0322040975284108e-05
2,18,0.06948717948717949,8,2.2568489384674913e-05
2,18,0.06948717948717949,9,2.983790269269799e-05
2,18,0.07692307692307691,0,2.7566415031806238e-05
2,18,0.07692307692307691,1,2.0959532358534988e-05
